name,lat,lon,説明,住所
八王子市役所本庁舎１階市民ロビー,35.6666420924029,139.31605203541,期日前投票所,元本郷町三丁目２４番１号
由木事務所,35.626946667377,139.382560090103,期日前投票所,下柚木二丁目１０番地６
南大沢文化会館１階ロビー,35.6116578424975,139.379352168114,期日前投票所,南大沢二丁目２７番地　　　　　　　　　　　　　　
館事務所,35.6343861565488,139.306522146716,期日前投票所,館町１５６番地
元八王子事務所,35.6713705741342,139.293038682025,期日前投票所,大楽寺町４１９番地１
北野事務所,35.6461342346434,139.353066519474,期日前投票所,北野町５４９番地５
石川事務所,35.6807395499449,139.366305903162,期日前投票所,石川町４８１番地
八王子駅南口総合事務所,35.6544164692401,139.337595538232,期日前投票所,子安町四丁目７番１号　サザンスカイタワー八王子4階
